25,79
100,11
225,27
400,40
625,62
900,87
1225,118
1600,45
2025,113
2500,117
3025,147
3600,269
4225,376
4900,537
5625,602
6400,623
7225,655
8100,891
9025,1110
10000,1500
11025,1770
12100,2184
13225,2515
14400,2976
15625,3569
16900,4462
18225,5071
19600,5740
21025,7367
22500,7660
24025,7698
25600,7917
27225,11043
28900,10957
30625,9636
32400,12437
34225,14575
36100,13234
38025,14129
40000,15805
