5, 4, 0, N/A, 17, [2 3 1 0 3 2 3]
5, 4, 1, N/A, 6, [3 2 1 0 3]
5, 4, 2, N/A, 7, [2 3 0 1 2 3 2 3 0 1]
5, 4, 3, N/A, 2, [1 0 3 2 1 0]
5, 4, 4, N/A, 1, [2 3 1 2 0 2]
5, 5, 0, N/A, 1, [4 2 0 3 1]
5, 5, 1, N/A, 3, [0 4 2 1 2 0 3 1 4]
5, 5, 2, N/A, 2, [3 2 4 1 0 2 4 3 4]
5, 5, 3, N/A, 2, [1 4 2 3 0 1 4 2]
5, 5, 4, N/A, 3, [3 0 1 4 0 3 2 0]
5, 6, 0, N/A, 2, [2 3 5 0 4 1 3 1 2]
5, 6, 1, N/A, 3, [2 0 5 3 1 4 3 1 4]
5, 6, 2, N/A, 5, [3 4 2 1 5 2 0 4 0 1 4 2]
5, 6, 3, N/A, 2, [2 1 3 5 0 4 2 3]
5, 6, 4, N/A, 2, [3 0 1 2 4 0 5 4 0]
5, 7, 0, N/A, 4, [6 5 0 4 1 2 5 0 3 2 0]
5, 7, 1, N/A, 1, [4 5 6 0 2 3 2 1 6 1]
5, 7, 2, N/A, 4, [1 6 0 4 5 2 6 3 2 1 5 3 4 2]
5, 7, 3, N/A, 1, [4 6 1 2 3 0 5 4 0 6]
5, 7, 4, N/A, 3, [4 3 2 6 1 3 5 0 2 1 3 4]
5, 8, 0, N/A, 4, [1 0 6 2 5 7 3 4 2 7 3 6]
5, 8, 1, N/A, 2, [1 5 4 0 7 3 2 6 4 0 2 5 6]
5, 8, 2, N/A, 2, [6 7 2 0 5 3 4 1 5 7 6 3]
5, 8, 3, N/A, 2, [2 1 6 3 4 5 7 0 2 4 3]
5, 8, 4, N/A, 3, [1 2 0 6 4 5 7 3 0 6 0 3 4]
10, 4, 0, N/A, 8, [2 3 1 0 2 3 1 0 2 3 1 0 1 3]
10, 4, 1, N/A, 6, [2 0 3 1 0 2 1 3 1 0 2 1 0 3]
10, 4, 2, N/A, 6, [1 0 3 2 0 1 3 2 0 1 3 2 0 1]
