5, 4, 0, N/A, 10, [2 3 2 0 1 2 0]
5, 4, 1, N/A, 3, [3 1 0 1 2 3]
5, 4, 2, N/A, 7, [2 3 2 0 1 2 0 2 0 1]
5, 4, 3, N/A, 3, [1 2 3 0 1 2 1 3]
5, 4, 4, N/A, 2, [1 2 3 1 3 0 2]
5, 5, 0, N/A, 2, [2 0 3 0 4 1]
5, 5, 1, N/A, 3, [0 3 4 2 1 4 2 1 2 4 1 4]
5, 5, 2, N/A, 1, [2 0 4 1 2 3 0 3 2 3]
5, 5, 3, N/A, 1, [1 4 0 2 3 0 2 0 4]
5, 5, 4, N/A, 2, [0 3 4 0 1 4 2 0 2 4 1 3]
5, 6, 0, N/A, 3, [3 5 2 4 1 0 4 1 4 0 2]
5, 6, 1, N/A, 2, [3 5 1 4 2 0 1 4 0 1 4]
5, 6, 2, N/A, 4, [1 2 0 3 5 4 5 0 2 0 5 0 2 4 2]
5, 6, 3, N/A, 2, [4 0 5 2 1 0 3 0 5 3]
5, 6, 4, N/A, 5, [2 5 4 0 4 1 3 0 4 0 1 0 4 0]
5, 7, 0, N/A, 2, [0 5 3 2 6 1 2 3 2 1 4 5 4]
5, 7, 1, N/A, 2, [5 2 1 4 3 6 0 3 6 1]
5, 7, 2, N/A, 2, [4 5 2 3 6 0 1 3 2 1 3 6 1 6 2]
5, 7, 3, N/A, 1, [5 0 3 4 0 3 2 6 1 0 4 2 6]
5, 7, 4, N/A, 1, [2 3 4 1 0 2 1 2 5 1 6 0]
5, 8, 0, N/A, 2, [3 7 5 7 6 2 4 7 2 7 0 1 7 2 6]
5, 8, 1, N/A, 1, [4 2 1 0 3 6 7 3 7 5 0 5 6]
5, 8, 2, N/A, 1, [6 1 7 2 4 5 4 3 5 0 5 7 3 7 3]
5, 8, 3, N/A, 1, [3 2 4 7 0 6 0 5 1 7 0 2]
5, 8, 4, N/A, 1, [6 0 2 7 0 4 5 4 7 3 0 5 0 1 3 4]
10, 4, 0, N/A, 8, [0 3 2 1 0 2 1 2 3 2 3 2 3 1 3 2 0 3 0 2 0 3]
10, 4, 1, N/A, 6, [1 3 0 3 1 2 1 2 1 3 1 3 1 3 2 1 2 1 3 2]
10, 4, 2, N/A, 6, [3 2 1 2 0 3 2 3 0 2 0 2 0 2 3 0 2]
10, 4, 3, N/A, 7, [3 2 1 0 1 2 1 2 1 2 1 0 1 0 1 0 3 1 3 0]
10, 4, 4, N/A, 6, [3 1 2 0 3 1 0 2 0 2 1 2 1 2 1 2 0 1 0 1 3]
