Size, Colors, ID, Nodes Explored, Runtime, Solution
5, 4, 0, 27, 37, [0 2 0 3 2 1]
5, 4, 1, 16, 10, [3 2 0 1 3]
5, 4, 2, 181, 68, [1 2 3 0 2 3 1 2]
5, 4, 3, 24, 3, [0 3 2 0 1]
5, 4, 4, 26, 2, [2 1 0 2 3 1]
5, 5, 0, 32, 6, [1 4 3 2 0]
5, 5, 1, 243, 57, [4 3 2 1 2 4 0 3]
5, 5, 2, 125, 17, [4 3 1 4 2 3 0]
5, 5, 3, 165, 25, [2 0 3 1 2 0 4]
5, 5, 4, 49, 9, [0 2 3 1 0 3 4]
5, 6, 0, 4860, 601, [1 3 1 4 5 3 1 0 2]
5, 6, 1, 574, 46, [4 3 2 5 1 4 3 0]
5, 6, 2, 2587, 344, [2 1 2 4 0 4 2 3 5 1]
