Size, Colors, ID, Nodes Explored, Runtime, Solution
5, 4, 0, 11, 25, [3 2 0 1 3 2]
5, 4, 1, 11, 6, [3 2 0 3 1]
5, 4, 2, 43, 15, [3 2 0 3 1 2 0 3]
5, 4, 3, 10, 2, [0 3 1 2 0]
5, 4, 4, 15, 0, [2 0 2 3 1 2]
5, 5, 0, 18, 3, [1 3 0 2 4]
5, 5, 1, 78, 12, [4 1 3 2 1 0 4 2]
5, 5, 2, 25, 4, [4 3 1 4 2 3 0]
5, 5, 3, 25, 4, [2 0 3 1 4 0 2]
5, 5, 4, 17, 2, [0 2 3 1 3 0 4]
5, 6, 0, 189, 14, [1 3 1 4 5 2 0 1 3]
5, 6, 1, 43, 2, [5 3 2 5 0 4 3 1]
5, 6, 2, 71, 6, [2 1 0 4 0 4 2 3 5 1]
5, 6, 3, 95, 3, [3 2 4 0 5 3 1 2]
5, 6, 4, 77, 3, [0 1 4 5 2 0 3 1 4]
5, 7, 0, 177, 12, [0 2 6 3 4 1 5 2 0]
5, 7, 1, 70, 2, [2 5 4 2 6 1 3 0]
5, 7, 2, 87, 7, [2 6 5 0 1 3 6 5 2 4]
5, 7, 3, 53, 2, [6 0 1 6 4 3 0 2 5]
5, 7, 4, 93, 4, [0 4 6 3 5 0 2 3 1]
5, 8, 0, 396, 27, [6 3 1 0 5 4 3 2 7 6]
5, 8, 1, 70, 8, [6 4 5 6 2 3 7 0 4 1]
5, 8, 2, 1007, 69, [3 7 6 7 2 1 5 3 0 4]
5, 8, 3, 158, 10, [3 0 7 5 1 2 4 6 0 3]
5, 8, 4, 551, 36, [4 1 6 3 7 6 2 5 4 0 3]
10, 4, 0, 49, 97, [3 1 0 3 0 2 3 0 1 3 2]
10, 4, 1, 166, 93, [2 0 3 0 2 1 2 3 0 1 2]
10, 4, 2, 102, 34, [1 0 2 3 2 3 1 2 3 0 1]
10, 4, 3, 46, 9, [3 2 0 3 0 1 3 0 1 2 3]
10, 4, 4, 31, 5, [2 1 2 3 1 3 0 2 1 3]
10, 5, 0, 1070, 468, [3 0 4 3 2 3 1 4 2 3 2 1 2 4 0]
10, 5, 1, 1567, 815, [1 2 0 4 3 1 0 1 3 0 4 2 3 0 1]
10, 5, 2, 282, 108, [1 4 0 3 1 3 2 1 0 2 4 3 1]
10, 5, 3, 247, 99, [3 0 4 2 4 2 0 3 0 1 4 3 2 0]
10, 5, 4, 402, 166, [1 4 1 2 1 4 2 3 4 1 3 2 0]
10, 6, 0, OOM, --, --
10, 6, 1, OOM, --, --
10, 6, 2, 9662, 137051, [5 4 2 4 3 0 2 4 5 0 3 2 1 4 0 5]
10, 6, 3, DNF, --, --
10, 6, 4, 1308, 2346, [4 5 3 1 0 3 2 5 4 1 3 4 0 2]
10, 7, 0, 4750, 5493, [0 2 6 1 5 4 0 6 5 1 4 2 0 6 3]
10, 7, 1, DNF, --, --
7
7
7
8
8
8
8
8
15, 4, 0, 1113, 1379, [1 3 2 3 0 3 2 3 2 1 0 3 1 0 2 3 1]
15, 4, 1, 545, 249, [2 3 1 0 2 0 3 1 0 3 2 3 1 0]
15, 4, 2, 585, 230, [1 3 2 1 2 1 0 3 0 3 1 3 0 2 1 3]
15, 4, 3, 101, 19, [3 2 3 1 3 0 1 2 0 3 0 1 0 2 3]
15, 4, 4, 1681, 1408, [1 2 3 2 1 2 1 2 0 1 3 0 2 3 1 2 0 3]
15, 5, 0, DNF, --, --
15, 5, 1, DNF, --, --
15, 5, 2, DNF, --, --
15, 5, 3, DNF, --, --
15, 5, 4, DNF, --, --
15, 6, 0, DNF, --, --
15, 6, 1, DNF, --, --
15, 6, 2, DNF, --, --
15, 6, 3, DNF, --, --
15, 6, 4, DNF, --, --
15, 7, 0, DNF, --, --
15, 7, 1, DNF, --, --
15, 7, 2, DNF, --, --
15, 7, 3, DNF, --, --
15, 7, 4, DNF, --, --
15, 8, 0, DNF, --, --
15, 8, 1, DNF, --, --
15, 8, 2, DNF, --, --
15, 8, 3, DNF, --, --
15, 8, 4, DNF, --, --
