Size, Colors, ID, Nodes Explored, Runtime, Solution
5, 4, 0, 27, 35, [0 2 0 3 2 1]
5, 4, 1, 16, 9, [3 2 0 1 3]
5, 4, 2, 181, 58, [1 2 3 0 2 3 1 2]
5, 4, 3, 24, 4, [0 3 2 0 1]
5, 4, 4, 26, 4, [2 1 0 2 3 1]
5, 5, 0, 32, 4, [1 4 3 2 0]
5, 5, 1, 243, 54, [4 3 2 1 2 4 0 3]
5, 5, 2, 125, 27, [4 3 1 4 2 3 0]
5, 5, 3, 165, 30, [2 0 3 1 2 0 4]
5, 5, 4, 49, 12, [0 2 3 1 0 3 4]
5, 6, 0, 4860, 460, [1 3 1 4 5 3 1 0 2]
5, 6, 1, 574, 44, [4 3 2 5 1 4 3 0]
5, 6, 2, 2587, 297, [2 1 2 4 0 4 2 3 5 1]
5, 6, 3, 1435, 82, [2 0 5 4 1 3 2 0]
5, 6, 4, 2485, 290, [0 1 2 5 3 2 4 1 0]
5, 7, 0, 2878, 341, [0 2 3 4 1 5 0 2 6]
5, 7, 1, 982, 65, [2 5 4 2 6 1 3 0]
5, 7, 2, 2959, 318, [2 6 5 1 0 3 5 2 6 4]
5, 7, 3, 5626, 616, [6 0 5 1 6 2 4 0 3]
5, 7, 4, 2132, 229, [0 6 4 3 1 3 0 5 2]
5, 8, 0, 7327, 1198, [5 3 1 4 0 3 7 6 5 2]
5, 8, 1, 28109, 5033, [6 4 5 6 2 0 1 7 4 3]
5, 8, 2, 20781, 3110, [3 7 6 7 1 2 0 4 5 3]
5, 8, 3, 25710, 3644, [2 3 7 1 4 3 6 5 0 2]
5, 8, 4, 55819, 9645, [6 1 6 3 7 2 4 0 6 5 3]
10, 4, 0, 652, 799, [3 1 0 3 0 1 3 1 0 3 2]
10, 4, 1, 2269, 1542, [3 1 0 1 3 0 1 2 0 1 3]
10, 4, 2, 782, 493, [1 0 2 1 2 3 1 2 3 1 0]
10, 4, 3, 340, 245, [3 2 0 2 0 1 3 0 1 2 3]
10, 4, 4, 488, 313, [2 1 2 3 1 3 0 2 1 3]
10, 5, 0, 222595, 181341, [3 0 4 2 1 4 2 3 1 2 0 3 4 1 2]
10, 5, 1, 89704, 70208, [1 2 0 4 3 1 0 1 3 0 4 3 2 0 1]
10, 5, 2, 8078, 5275, [3 4 0 3 1 3 2 1 0 2 1 3 4]
10, 5, 3, 13398, 8624, [3 4 3 2 4 2 0 2 0 2 3 0 1 4]
10, 5, 4, 65492, 39939, [1 2 1 2 4 2 3 1 4 0 2 1 3]
10, 6, 0, DNF, --, --
10, 6, 1, OOM, --, --
10, 6, 2, DNF, --, --
10, 6, 3, DNF, --, --
10, 6, 4, DNF, --, --
10, 7, 0, DNF, --, --
10, 7, 1, DNF, --, --
7
7
7
8
8
8
8
8
15, 4, 0, 49072, 92465, [3 2 0 3 0 3 2 3 2 1 0 3 1 0 2 3 1]
15, 4, 1, 5385, 7575, [2 3 1 0 2 3 2 1 0 1 3 2 0 1]
15, 4, 2, 17659, 29525, [1 3 2 1 3 1 0 1 0 2 1 3 0 2 1 3]
15, 4, 3, 4508, 6451, [3 2 3 1 2 1 0 2 3 1 0 2 1 0 3]
15, 4, 4, DNF, --, --
15, 5, 0, DNF, --, --
15, 5, 1, DNF, --, --
15, 5, 2, DNF, --, --
15, 5, 3, DNF, --, --
15, 5, 4, DNF, --, --
15, 6, 0, DNF, --, --
15, 6, 1, DNF, --, --
15, 6, 2, DNF, --, --
15, 6, 3, DNF, --, --
15, 6, 4, DNF, --, --
15, 7, 0, DNF, --, --
15, 7, 1, DNF, --, --
15, 7, 2, DNF, --, --
15, 7, 3, DNF, --, --
15, 7, 4, DNF, --, --
15, 8, 0, DNF, --, --
15, 8, 1, DNF, --, --
15, 8, 2, DNF, --, --
15, 8, 3, DNF, --, --
15, 8, 4, DNF, --, --
