Size, Colors, ID, Nodes Explored, Runtime, Solution
5, 4, 0, 123, 70, [3 2 0 1 3 2]
5, 4, 1, 54, 4, [3 0 1 2 3]
5, 4, 2, 996, 86, [1 2 3 1 0 3 2 3]
5, 4, 3, 82, 3, [0 3 2 1 0]
5, 4, 4, 73, 2, [1 2 0 1 2 3]
5, 5, 0, 184, 7, [1 3 4 2 0]
5, 5, 1, 2492, 130, [4 1 3 2 1 2 0 4]
5, 5, 2, 1095, 37, [4 3 1 4 0 3 2]
5, 5, 3, 786, 29, [2 0 3 1 4 0 2]
5, 5, 4, 1076, 44, [0 2 3 1 3 4 0]
5, 6, 0, 37660, 1075, [2 4 1 5 4 0 3 2 1]
5, 6, 1, 9441, 285, [5 3 2 5 4 1 0 3]
5, 6, 2, 42772, 2015, [2 1 0 4 0 4 2 1 5 3]
5, 6, 3, 7344, 169, [3 2 4 1 3 2 5 0]
5, 6, 4, 12317, 279, [0 1 2 3 1 4 0 2 5]
5, 7, 0, 66380, 3042, [0 2 3 4 6 1 2 5 0]
