Size, Colors, ID, Nodes Explored, Runtime, Solution
5, 4, 0, 27, 116, [0 2 0 3 2 1]
5, 4, 1, 16, 7, [3 2 0 1 3]
5, 4, 2, 181, 34, [1 2 3 0 2 3 1 2]
5, 4, 3, 24, 3, [0 3 2 0 1]
5, 4, 4, 26, 2, [2 1 0 2 3 1]
5, 5, 0, 32, 4, [1 4 3 2 0]
5, 5, 1, 243, 33, [4 3 2 1 2 4 0 3]
5, 5, 2, 125, 9, [4 3 1 4 2 3 0]
5, 5, 3, 165, 10, [2 0 3 1 2 0 4]
5, 5, 4, 49, 5, [0 2 3 1 0 3 4]
5, 6, 0, 4860, 195, [1 3 1 4 5 3 1 0 2]
5, 6, 1, 574, 22, [4 3 2 5 1 4 3 0]
5, 6, 2, 2587, 82, [2 1 2 4 0 4 2 3 5 1]
5, 6, 3, 1435, 27, [2 0 5 4 1 3 2 0]
5, 6, 4, 2485, 57, [0 1 2 5 3 2 4 1 0]
5, 7, 0, 2878, 133, [0 2 3 4 1 5 0 2 6]
5, 7, 1, 982, 22, [2 5 4 2 6 1 3 0]
5, 7, 2, 2959, 86, [2 6 5 1 0 3 5 2 6 4]
5, 7, 3, 5626, 155, [6 0 5 1 6 2 4 0 3]
5, 7, 4, 2132, 57, [0 6 4 3 1 3 0 5 2]
5, 8, 0, 7327, 383, [5 3 1 4 0 3 7 6 5 2]
5, 8, 1, 28109, 1382, [6 4 5 6 2 0 1 7 4 3]
5, 8, 2, 20781, 1111, [3 7 6 7 1 2 0 4 5 3]
5, 8, 3, 25710, 1124, [2 3 7 1 4 3 6 5 0 2]
5, 8, 4, 55819, 2414, [6 1 6 3 7 2 4 0 6 5 3]
10, 4, 0, 652, 731, [3 1 0 3 0 1 3 1 0 3 2]
10, 4, 1, 2269, 503, [3 1 0 1 3 0 1 2 0 1 3]
10, 4, 2, 782, 97, [1 0 2 1 2 3 1 2 3 1 0]
10, 4, 3, 340, 58, [3 2 0 2 0 1 3 0 1 2 3]
10, 4, 4, 488, 75, [2 1 2 3 1 3 0 2 1 3]
10, 5, 0, 222595, 47259, [3 0 4 2 1 4 2 3 1 2 0 3 4 1 2]
10, 5, 1, 89704, 18533, [1 2 0 4 3 1 0 1 3 0 4 3 2 0 1]
10, 5, 2, 8078, 1489, [3 4 0 3 1 3 2 1 0 2 1 3 4]
10, 5, 3, 13398, 1892, [3 4 3 2 4 2 0 2 0 2 3 0 1 4]
10, 5, 4, 65492, 9154, [1 2 1 2 4 2 3 1 4 0 2 1 3]
10, 6, 0, DNF, --, --
10, 6, 1, DNF, --, --
10, 6, 2, DNF, --, --
10, 6, 3, DNF, --, --
10, 6, 4, DNF, --, --
10, 7, 0, DNF, --, --
10, 7, 1, DNF, --, --
10, 7, 2, ---, --, --
10, 7, 3, ---, --, --
10, 7, 4, ---, --, --
10, 8, 0, ---, --, --
10, 8, 1, ---, --, --
10, 8, 2, ---, --, --
10, 8, 3, ---, --, --
10, 8, 4, ---, --, --
15, 4, 0, 49072, 25716, [3 2 0 3 0 3 2 3 2 1 0 3 1 0 2 3 1]
15, 4, 1, 5385, 1354, [2 3 1 0 2 3 2 1 0 1 3 2 0 1]
15, 4, 2, 17659, 5604, [1 3 2 1 3 1 0 1 0 2 1 3 0 2 1 3]
15, 4, 3, 4508, 1152, [3 2 3 1 2 1 0 2 3 1 0 2 1 0 3]
15, 4, 4, 176121, 84485, [1 2 0 1 2 1 2 3 0 1 3 1 0 3 2 0 3 1]
15, 5, 0, DNF, --, --
15, 5, 1, DNF, --, --
15, 5, 2, DNF, --, --
15, 5, 3, DNF, --, --
15, 5, 4, DNF, --, --
15, 6, 0, DNF, --, --
15, 6, 1, DNF, --, --
15, 6, 2, DNF, --, --
15, 6, 3, DNF, --, --
15, 6, 4, DNF, --, --
15, 7, 0, DNF, --, --
15, 7, 1, DNF, --, --
15, 7, 2, DNF, --, --
15, 7, 3, DNF, --, --
15, 7, 4, DNF, --, --
15, 8, 0, DNF, --, --
15, 8, 1, DNF, --, --
15, 8, 2, DNF, --, --
15, 8, 3, DNF, --, --
15, 8, 4, DNF, --, --
20, 4, 0, DNF, --, --
20, 4, 1, DNF, --, --
20, 4, 2, DNF, --, --
20, 4, 3, DNF, --, --
20, 4, 4, DNF, --, --
20, 5, 0, DNF, --, --
20, 5, 1, DNF, --, --
20, 5, 2, DNF, --, --
20, 5, 3, DNF, --, --
20, 5, 4, DNF, --, --
