Size, Colors, ID, Nodes Explored, Runtime, Solution
5, 4, 0, 123, 51, [3 2 0 1 3 2]
5, 4, 1, 54, 20, [3 0 1 2 3]
5, 4, 2, 996, 364, [1 2 3 1 0 3 2 3]
5, 4, 3, 82, 6, [0 3 2 1 0]
5, 4, 4, 73, 8, [1 2 0 1 2 3]
5, 5, 0, 184, 24, [1 3 4 2 0]
5, 5, 1, 2492, 403, [4 1 3 2 1 2 0 4]
5, 5, 2, 1095, 169, [4 3 1 4 0 3 2]
5, 5, 3, 786, 107, [2 0 3 1 4 0 2]
5, 5, 4, 1076, 161, [0 2 3 1 3 4 0]
5, 6, 0, 37660, 5590, [2 4 1 5 4 0 3 2 1]
5, 6, 1, 9441, 1330, [5 3 2 5 4 1 0 3]
5, 6, 2, 42772, 8801, [2 1 0 4 0 4 2 1 5 3]
5, 6, 3, 7344, 782, [3 2 4 1 3 2 5 0]
5, 6, 4, 12317, 1750, [0 1 2 3 1 4 0 2 5]
