Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
20,6,1,4,ÊDNF,Ê--,Ê--
20,6,2,4,ÊDNF,Ê--,Ê--
20,6,3,4,ÊDNF,Ê--,Ê--
20,6,4,4,ÊDNF,Ê--,Ê--
25,4,0,4,2585,1233,Ê[2 3 2 1 2 0 2 0 3 2 1 0 2 3 1 3 2 1 3 0 2 1]
25,4,1,4,2899,1594,Ê[2 1 2 1 0 1 2 1 0 3 2 0 1 2 0 1 3 1 3 2 3 0 1]
25,4,2,4,10219,5459,Ê[1 2 0 3 1 3 0 3 1 2 0 1 0 3 1 0 2 1 0 3 2 0 3 1]
25,4,3,4,91066,46874,Ê[3 0 1 3 1 0 2 3 2 0 1 3 0 1 2 3 2 1 0 2 1 3 0 1 2]
25,4,4,4,2082,1039,Ê[0 2 3 2 1 2 3 1 3 0 1 3 0 2 3 0 3 2 1 0 2 1 3]
25,5,0,4,59477,47509,Ê[3 1 0 3 0 2 0 3 0 4 0 3 4 2 3 0 2 1 0 4 1 3 4 0 1 2]
25,5,1,4,95771,87839,Ê[2 0 1 3 4 1 4 0 3 2 4 2 0 4 1 2 0 2 1 3 4 0 2 1 3 4 2 0]
25,5,2,4,ÊDNF,Ê--,Ê--
25,5,3,4,ÊDNF,Ê--,Ê--
25,5,4,4,ÊDNF,Ê--,Ê--
25,6,0,4,ÊDNF,Ê--,Ê--
25,6,1,4,ÊDNF,Ê--,Ê--
25,6,2,4,ÊDNF,Ê--,Ê--
25,6,3,4,ÊDNF,Ê--,Ê--
25,6,4,4,ÊDNF,Ê--,Ê--
