Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
5,4,0,12,41,4, [0 2 0 3 1 2]
5,4,1,12,23,2, [3 0 3 1 2]
5,4,2,12,64,4, [3 2 0 3 1 0 2 3]
5,4,3,12,35,2, [0 3 2 0 1]
5,4,4,12,34,1, [1 2 0 2 3 1]
5,5,0,12,40,1, [1 3 0 4 2]
5,5,1,12,67,2, [4 1 3 2 1 0 4 2]
5,5,2,12,58,2, [4 3 1 4 0 3 2]
5,5,3,12,55,2, [2 0 3 2 4 0 1]
5,5,4,12,56,3, [0 2 3 1 4 3 0]
5,6,0,12,102,5, [4 5 3 1 2 4 0 1 3]
5,6,1,12,80,2, [4 1 0 2 4 5 0 1 3]
5,6,2,12,91,1, [0 1 2 4 0 4 2 5 1 3]
5,6,3,12,67,1, [3 4 0 5 3 1 4 2]
5,6,4,12,86,2, [0 2 5 1 2 0 3 1 4]
5,7,0,12,173,3, [0 2 6 3 4 1 5 0 2]
5,7,1,12,90,1, [2 5 2 4 6 0 1 3]
5,7,2,12,166,4, [2 4 0 1 3 5 2 3 4 6 1]
5,7,3,12,78,1, [5 0 1 6 5 2 3 4 0]
5,7,4,12,86,1, [4 3 6 4 1 5 3 2 0]
5,8,0,12,198,5, [6 3 1 4 0 3 6 5 2 7]
5,8,1,12,83,1, [6 4 5 6 2 3 0 1 7 4]
5,8,2,12,114,2, [3 7 6 7 2 1 5 3 0 4]
5,8,3,12,128,2, [3 0 7 5 1 0 6 4 2 3]
5,8,4,12,475,10, [4 1 6 3 0 6 7 5 4 3 2]
10,4,0,12,101,7, [3 1 0 3 0 2 3 0 2 3 1]
10,4,1,12,114,6, [2 0 3 0 1 3 1 2 0 3 1]
10,4,2,12,100,4, [1 0 2 1 2 3 1 2 3 1 0]
10,4,3,12,100,4, [3 2 0 2 0 1 3 0 1 3 2]
10,4,4,12,91,4, [2 1 2 3 1 3 0 2 3 1]
10,5,0,12,492,58, [3 2 4 3 2 1 4 2 3 1 2 3 4 1 0]
10,5,1,12,299,35, [1 2 3 4 2 0 1 3 1 0 4 3 2 0 1]
10,5,2,12,124,8, [3 4 2 1 3 4 2 1 0 2 4 3 1]
10,5,3,12,135,10, [3 0 4 1 3 2 0 2 0 2 3 0 4 1]
10,5,4,12,244,24, [1 4 2 1 0 4 2 3 4 1 0 3 2]
10,6,0,12,541,68, [1 4 0 4 0 1 2 1 4 2 3 1 2 4 5 0]
10,6,1,12,1744,274, [4 5 4 5 0 2 5 3 4 2 0 1 5 3 4 0 2]
10,6,2,12,1442,238, [5 4 2 1 0 1 2 5 4 0 3 2 1 0 5 4]
10,6,3,12,1348,220, [1 2 3 4 2 3 0 4 3 1 5 2 0 3 4 1]
10,6,4,12,547,81, [5 3 1 0 3 1 4 2 5 1 4 3 0 2]
10,7,0,12,2749,399, [0 2 6 1 5 4 0 6 5 1 4 2 6 0 3]
10,7,1,12,3545,694, [4 2 0 4 2 1 6 1 5 4 2 1 3 6 0 5]
10,7,2,12,946,139, [0 3 2 0 4 1 0 1 3 6 0 5 2 3 4 6]
10,7,3,12,1179,254, [0 4 2 4 5 3 6 1 2 0 6 5 1 2 4 3]
10,7,4,12,1932,273, [6 5 2 5 0 3 1 5 4 6 5 1 3 4 2 0]
