Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
5,4,0,10,36,5, [0 2 0 3 1 2]
5,4,1,10,23,2, [3 0 3 1 2]
5,4,2,10,59,3, [3 2 0 3 1 0 2 3]
5,4,3,10,31,1, [0 3 2 0 1]
5,4,4,10,30,1, [1 2 0 2 3 1]
5,5,0,10,34,1, [1 3 0 4 2]
5,5,1,10,57,2, [4 1 3 2 1 0 4 2]
5,5,2,10,50,2, [4 3 1 4 0 3 2]
5,5,3,10,47,1, [2 0 3 2 4 0 1]
5,5,4,10,48,2, [0 2 3 1 4 3 0]
5,6,0,10,98,5, [2 1 4 0 5 4 2 3 1]
5,6,1,10,88,2, [5 3 2 5 4 1 3 0]
5,6,2,10,78,2, [0 1 2 4 0 4 2 5 1 3]
5,6,3,10,58,1, [3 4 0 5 4 1 3 2]
5,6,4,10,71,2, [0 1 2 5 0 3 1 2 4]
5,7,0,10,194,4, [0 2 6 3 4 1 5 0 2]
5,7,1,10,74,1, [2 5 2 4 6 0 1 3]
5,7,2,10,95,2, [2 6 5 1 0 6 4 3 2 5]
5,7,3,10,68,1, [5 0 1 6 5 2 3 4 0]
5,7,4,10,78,2, [4 3 6 4 1 5 3 2 0]
5,8,0,10,195,4, [6 3 1 4 0 3 6 5 2 7]
5,8,1,10,72,1, [6 4 5 6 2 3 0 1 7 4]
5,8,2,10,118,3, [3 7 6 7 1 0 2 5 3 4]
5,8,3,10,115,2, [3 0 7 5 1 0 6 4 2 3]
5,8,4,10,484,11, [4 1 6 3 7 2 6 4 5 0 3]
10,4,0,10,87,6, [3 1 0 3 0 2 3 0 2 3 1]
10,4,1,10,100,5, [2 0 3 0 1 3 1 2 0 3 1]
10,4,2,10,86,4, [1 0 2 1 2 3 1 2 3 1 0]
10,4,3,10,86,4, [3 2 0 3 0 1 3 0 1 3 2]
10,4,4,10,77,4, [2 1 2 3 1 3 0 2 3 1]
10,5,0,10,597,67, [3 2 4 3 2 4 0 2 3 1 2 0 3 1 4]
10,5,1,10,403,38, [1 2 3 4 2 0 1 3 0 1 4 2 3 0 1]
10,5,2,10,107,7, [3 4 2 1 3 4 2 1 0 2 4 3 1]
10,5,3,10,242,14, [3 4 3 2 3 2 0 3 0 1 4 2 3 0]
10,5,4,10,273,26, [1 4 1 2 3 1 2 3 4 1 0 2 3]
10,6,0,10,530,68, [1 4 0 4 0 1 2 1 4 2 3 1 2 4 5 0]
10,6,1,10,1503,238, [4 5 4 5 0 2 5 3 4 2 0 1 5 3 4 0 2]
10,6,2,10,1333,237, [5 4 2 1 0 5 2 5 4 0 3 4 2 1 5 0]
10,6,3,10,1387,231, [1 2 3 4 2 3 0 4 3 1 5 2 0 3 4 1]
10,6,4,10,498,71, [5 3 1 0 3 1 4 2 5 1 4 3 0 2]
10,7,0,10,8197,1204, [0 2 6 5 1 5 4 0 6 5 1 4 2 6 0 3]
10,7,1,10,4150,838, [4 2 0 4 2 1 5 0 4 2 5 1 3 0 5 6]
10,7,2,10,837,123, [0 3 2 0 4 1 0 1 3 6 0 5 2 3 4 6]
10,7,3,10,1118,242, [0 4 2 4 5 3 6 1 2 0 6 5 1 2 4 3]
