Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution,,,,
25,4,3,2,840394,298479,Ê[1 0 1 3 1 0 2 3 2 1 0 3 1 2 3 2 1 0 2 1 3 0 1 2],,,,
25,4,4,2,ÊDNF,Ê--,Ê--,,,,
25,5,0,2,ÊDNF,Ê--,Ê--,,,,
25,5,1,2,ÊDNF,Ê--,Ê--,,,,
25,5,2,2,ÊDNF,Ê--,Ê--,,,,
25,5,3,2,ÊDNF,Ê--,Ê--,,,,
25,5,4,2,ÊDNF,Ê--,Ê--,,,,
25,6,0,2,ÊDNF,Ê--,Ê--,,,,
25,6,1,2,ÊDNF,Ê--,Ê--,,,,
25,6,2,2,ÊDNF,Ê--,Ê--,,,,
25,6,3,2,ÊDNF,Ê--,Ê--,,,,
25,6,4,2,ÊDNF,Ê--,Ê--,,,,
