Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
5,4,0,4,24,6, [0 2 0 3 1 2]
5,4,1,4,13,1, [3 0 3 1 2]
5,4,2,4,97,5, [3 2 0 3 1 2 3 0]
5,4,3,4,22,1, [0 3 2 0 1]
5,4,4,4,20,0, [1 2 1 0 2 3]
5,5,0,4,23,1, [1 3 2 0 4]
5,5,1,4,146,5, [4 1 3 2 1 0 4 2]
5,5,2,4,61,2, [4 3 1 4 0 3 2]
5,5,3,4,118,2, [2 0 3 1 2 4 0]
5,5,4,4,38,1, [0 2 3 1 4 3 0]
5,6,0,4,1358,28, [1 3 1 4 5 0 1 3 2]
5,6,1,4,969,17, [4 1 3 4 1 3 2 5 0]
5,6,2,4,880,15, [2 1 2 4 0 3 4 2 1 5]
5,6,3,4,834,8, [2 3 4 0 1 3 2 5]
5,6,4,4,1027,14, [5 0 2 3 5 1 0 2 4]
5,7,0,4,1756,39, [0 2 6 3 2 1 4 5 0]
5,7,1,4,473,5, [2 5 4 2 6 3 1 0]
5,7,2,4,1021,18, [2 6 5 1 0 3 2 4 6 5]
5,7,3,4,1139,13, [5 0 5 2 1 6 3 4 0]
5,7,4,4,573,7, [0 4 3 1 3 0 5 2 6]
5,8,0,4,2273,38, [6 3 1 0 5 4 3 6 2 7]
5,8,1,4,5225,84, [6 4 5 7 6 3 0 7 1 2 4]
5,8,2,4,13163,188, [6 7 5 1 0 2 4 5 3 7 6]
5,8,3,4,4804,71, [3 0 7 1 5 4 6 0 2 3]
5,8,4,4,9209,134, [6 1 6 3 7 6 2 0 3 4 5]
10,4,0,4,347,24, [3 1 0 3 0 2 3 0 2 3 1]
10,4,1,4,919,42, [2 0 3 0 1 3 1 2 0 3 1]
10,4,2,4,225,11, [1 0 2 3 2 3 1 2 3 1 0]
10,4,3,4,209,13, [3 2 0 2 0 1 3 0 1 3 2]
10,4,4,4,220,12, [2 1 2 3 1 3 0 2 3 1]
10,5,0,4,60855,3409, [3 0 4 1 4 2 3 1 2 4 0 3 4 2 1]
10,5,1,4,39402,2902, [1 2 3 4 2 0 1 3 1 0 4 2 3 0 1]
10,5,2,4,2951,232, [3 4 2 1 3 4 2 1 0 2 4 3 1]
10,5,3,4,5660,332, [3 0 3 2 4 2 4 0 1 3 2 0 1 4]
10,5,4,4,16288,957, [1 2 1 2 0 4 3 2 4 1 0 2 3]
10,6,0,4,156435,16854, [3 4 0 4 0 1 2 1 4 2 3 1 2 4 5 0]
10,6,1,4,683359,66912, [4 5 4 1 0 2 5 0 3 2 4 3 2 1 5 0 4]
10,6,2,4,381061,36806, [5 4 2 0 1 0 2 4 5 0 3 2 1 0 4 5]
10,6,3,4,389155,42921, [2 3 0 5 1 2 3 1 0 3 2 1 5 0 3 4]
10,6,4,4,57009,6133, [5 2 0 3 1 4 2 3 5 1 4 3 0 2]
10,7,0,4,962153,111509, [0 2 6 2 1 5 4 0 6 1 2 4 6 0 5 3]
10,7,1,4,1158762,158263, [4 2 0 4 2 5 0 1 4 2 5 1 3 0 5 6]
10,7,2,4,650314,78414, [0 3 2 4 0 1 0 3 6 0 1 5 6 2 4 3 0]
10,7,3,4,676994,83576, [0 4 2 5 3 4 5 1 2 0 6 5 3 4 2 1]
10,7,4,4,1803900,198433, [6 5 1 4 5 0 2 1 4 3 6 4 5 3 1 2 0]
10,8,0,4, DNF, --, --
10,8,1,4, DNF, --, --
10,8,2,4, DNF, --, --
10,8,3,4, DNF, --, --
10,8,4,4, DNF, --, --
15,4,0,4,17915,3464, [3 1 2 1 0 3 2 3 2 1 0 3 1 0 3 1 2]
15,4,1,4,2714,359, [2 3 1 0 2 3 2 1 0 3 0 2 3 1]
15,4,2,4,8603,1343, [1 3 2 1 3 0 1 0 2 3 2 0 1 3 0 2]
15,4,3,4,2380,398, [3 2 3 1 3 1 0 2 1 3 0 2 1 3 0]
15,4,4,4,50649,8424, [1 2 0 1 0 2 0 2 3 0 2 3 2 1 0 3 2 1]
15,5,0,4,454789,112653, [3 1 2 4 1 2 0 4 1 0 2 4 1 3 4 2 1 3 0]
15,5,1,4,35110,8350, [1 4 3 0 2 4 3 1 0 2 3 1 0 4 2]
15,5,2,4,742243,198661, [4 0 2 4 2 0 4 2 3 0 1 0 3 2 4 1 0 3]
15,5,3,4,286829,58649, [0 4 0 3 2 1 0 2 4 3 4 0 1 4 0 3 1 2]
15,5,4,4,629184,107674, [3 4 1 3 1 0 4 2 3 0 3 4 1 2 4 0 3 1 2]
15,6,0,4, DNF, --, --
15,6,1,4, DNF, --, --
15,6,2,4, DNF, --, --
15,6,3,4, DNF, --, --
15,6,4,4, DNF, --, --
15,7,0,4, DNF, --, --
15,7,1,4, DNF, --, --
15,7,2,4, DNF, --, --
15,7,3,4, DNF, --, --
20,4,0,4,47319,8449,Ê[2 1 3 2 1 2 3 2 3 2 1 0 2 1 0 2 0 1 2 0 3]
20,4,1,4,47614,9898,Ê[1 3 1 2 0 3 0 2 0 2 1 3 0 3 1 2 0 3 0 2 1]
20,4,2,4,4356,912,Ê[1 2 0 3 2 1 3 1 3 2 3 0 1 2 3]
20,4,3,4,20979,4278,Ê[0 1 0 1 2 1 2 0 2 1 3 0 1 3 0 2 1 0 3 2]
20,4,4,4,21401,4864,Ê[1 0 1 3 2 0 2 0 2 0 2 1 2 0 2 1 0 3 1 2]
