Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
5,4,0,12,42,4, [0 2 0 3 1 2]
5,4,1,12,23,1, [3 0 3 1 2]
5,4,2,12,123,5, [3 1 2 0 3 2 1 0]
5,4,3,12,35,1, [0 3 2 0 1]
5,4,4,12,36,1, [1 2 0 2 3 1]
5,5,0,12,40,1, [1 3 2 0 4]
5,5,1,12,116,4, [4 3 2 1 2 4 0 3]
5,5,2,12,81,2, [4 3 1 4 0 3 2]
5,5,3,12,79,2, [2 0 3 1 2 0 4]
5,5,4,12,56,1, [0 2 3 1 4 3 0]
5,6,0,12,595,11, [1 3 1 5 3 0 2 4 1]
5,6,1,12,206,5, [5 3 2 5 4 0 1 3]
5,6,2,12,608,10, [2 4 2 4 0 3 4 2 5 1]
5,6,3,12,350,4, [3 4 0 4 3 1 5 2]
5,6,4,12,611,9, [5 0 2 3 5 1 0 2 4]
5,7,0,12,1162,20, [0 2 3 4 1 5 6 0 2]
5,7,1,12,261,2, [2 5 4 2 6 3 1 0]
5,7,2,12,606,11, [2 6 5 1 0 3 2 6 4 5]
5,7,3,12,503,8, [6 0 1 6 4 3 5 0 2]
5,7,4,12,433,5, [4 3 5 1 3 0 4 2 6]
5,8,0,12,2648,45, [6 3 2 4 3 7 2 5 6 1 0]
5,8,1,12,2412,39, [6 4 5 7 2 0 1 4 6 3 7]
5,8,2,12,4541,64, [6 2 5 4 0 5 3 7 6 1]
5,8,3,12,1622,35, [2 3 7 1 4 3 5 2 0 6]
5,8,4,12,6515,94, [6 0 6 3 0 2 7 4 5 1 3 6]
10,4,0,12,269,16, [3 1 0 3 0 2 3 0 2 3 1]
10,4,1,12,843,41, [2 0 3 0 1 3 1 2 0 3 1]
10,4,2,12,256,9, [1 0 2 3 2 3 1 2 3 1 0]
10,4,3,12,212,11, [3 2 0 2 0 1 3 0 1 3 2]
10,4,4,12,97,6, [2 1 2 3 1 3 0 2 3 1]
10,5,0,12,20221,1198, [3 0 4 3 2 4 2 1 0 3 2 1 3 0 4]
10,5,1,12,9626,893, [1 2 3 4 2 0 3 1 3 0 4 2 1 0 3]
10,5,2,12,1141,102, [3 4 2 1 3 4 2 1 0 2 4 3 1]
10,5,3,12,3087,193, [3 0 4 1 3 2 4 0 1 3 2 4 0 1]
10,5,4,12,6693,454, [1 4 1 2 0 3 4 2 3 1 4 0 2]
10,6,0,12,64989,7483, [1 4 0 4 1 2 5 1 5 4 2 3 1 5 4 2 0]
10,6,1,12,190600,18931, [4 5 4 1 0 2 5 3 4 2 4 3 1 5 4 2 0]
10,6,2,12,195383,18378, [5 4 2 1 0 5 2 5 4 0 3 2 1 5 4 0]
10,6,3,12,130854,13037, [2 3 0 5 1 3 1 2 3 1 0 2 5 1 3 4]
10,6,4,12,20396,2159, [5 3 0 3 5 0 1 2 0 3 5 4 2 1]
10,7,0,12,71200,8335, [0 2 6 1 5 4 0 6 2 5 1 4 6 0 3]
10,7,1,12,419683,56613, [4 2 0 4 2 1 5 0 4 2 5 1 5 6 0 3]
10,7,2,12,144225,15444, [0 3 2 0 4 1 0 1 3 6 0 5 2 3 4 6]
10,7,3,12,89134,12485, [3 0 2 5 3 6 1 3 2 0 6 5 1 2 3 4]
10,7,4,12,130102,15616, [6 5 2 5 3 0 1 5 4 6 0 5 3 2 1 4]
10,8,0,12,860500,144082, [7 3 0 7 5 0 5 0 4 7 3 6 1 5 0 4 7 2]
10,8,1,12,2180697,275581, [6 1 6 7 1 2 6 3 4 5 0 2 7 1 3 5 4 6]
10,8,2,12, DNF, --, --
10,8,3,12, DNF, --, --
10,8,4,12,1384219,226887, [6 5 4 1 3 2 7 6 5 2 7 3 6 2 0 1 4]
15,4,0,12,6277,1385, [3 1 2 3 0 3 2 3 2 1 0 3 1 0 3 1 2]
15,4,1,12,1711,265, [2 3 1 0 2 3 2 1 0 2 3 0 1 2]
15,4,2,12,4562,790, [1 3 2 1 3 0 1 0 2 3 2 0 1 2 0 3]
15,4,3,12,1451,259, [3 2 3 1 2 1 0 2 3 1 0 2 3 0 1]
15,4,4,12,16169,2894, [1 2 0 1 0 2 0 2 3 1 0 3 0 2 3 0 2 1]
15,5,0,12,95923,26061, [3 1 2 4 1 2 0 4 3 1 0 2 4 1 3 2 0 1 4]
15,5,1,12,15708,4160, [1 4 3 1 0 2 4 3 1 0 2 3 0 1 4]
15,5,2,12,189228,52904, [4 0 2 3 4 0 4 2 3 0 1 0 3 2 4 1 0 3]
15,5,3,12,77092,18256, [0 4 0 3 2 1 0 4 2 3 4 0 1 4 1 2 0 3]
15,5,4,12,332650,59671, [3 4 1 0 2 0 4 2 3 4 0 3 4 1 4 2 0 1 2 3]
15,6,0,12, DNF, --, --
15,6,1,12, DNF, --, --
15,6,2,12, DNF, --, --
15,6,3,12, DNF, --, --
15,6,4,12, DNF, --, --
15,7,0,12, DNF, --, --
15,7,1,12, DNF, --, --
15,7,2,12, DNF, --, --
,,,,,,
,,,,,,
20,4,0,12,31107,5811,Ê[2 1 3 1 3 2 1 0 2 0 2 0 3 0 1 0 2 1 0 3 1]
20,4,1,12,21196,4825,Ê[1 2 1 2 3 1 2 1 2 3 1 2 0 3 1 2 0 3 2 0 1]
20,4,2,12,2270,543,Ê[1 2 0 1 2 1 3 0 2 3 2 1 3 0 2]
20,4,3,12,12463,2666,Ê[0 2 0 1 2 1 2 0 2 1 2 0 1 3 0 2 1 0 3 2]
20,4,4,12,5812,1550,Ê[1 0 1 3 2 0 2 0 2 0 2 1 2 0 2 1 0 3 1 2]
20,5,0,12,ÊDNF,Ê--,Ê--
20,5,1,12,ÊDNF,Ê--,Ê--
20,5,2,12,ÊDNF,Ê--,Ê--
20,5,3,12,ÊDNF,Ê--,Ê--
20,5,4,12,186637,127852,Ê[4 1 4 0 2 3 0 4 2 1 3 2 0 4 1 3 4 0 2]
20,6,0,12,ÊDNF,Ê--,Ê--
20,6,1,12,ÊDNF,Ê--,Ê--
20,6,2,12,ÊDNF,Ê--,Ê--
20,6,3,12,ÊDNF,Ê--,Ê--
20,6,4,12,ÊDNF,Ê--,Ê--
25,4,0,12,12086,5520,Ê[2 3 2 1 2 0 2 0 3 2 0 2 3 1 3 2 1 3 0 2 1]
