Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
5,4,0,2,10,6, [3 2 0 3 2 1]
5,4,1,2,8,1, [3 0 3 1 2]
5,4,2,2,25,3, [3 1 3 0 3 1 2 3]
5,4,3,2,8,0, [0 3 2 0 1]
5,4,4,2,10,0, [2 0 1 2 1 3]
5,5,0,2,8,0, [1 3 0 4 2]
5,5,1,2,18,1, [4 1 3 2 1 2 4 0]
5,5,2,2,38,2, [4 3 1 4 0 3 2]
5,5,3,2,25,1, [2 0 3 1 2 4 0]
5,5,4,2,29,1, [0 2 3 1 4 3 0]
5,6,0,2,177,10, [1 3 1 4 5 0 1 3 2]
5,6,1,2,63,2, [4 3 0 4 2 1 5 3 0]
5,6,2,2,53,2, [2 4 2 4 0 4 3 2 5 1]
5,6,3,2,42,0, [2 3 4 0 1 3 2 5]
5,6,4,2,61,2, [0 2 5 1 2 0 4 3 1]
5,7,0,2,207,5, [0 2 3 4 6 1 2 5 0]
5,7,1,2,54,1, [2 4 5 2 6 0 1 3]
5,7,2,2,55,1, [2 6 5 1 0 3 2 4 6 5]
5,7,3,2,40,1, [6 0 1 6 5 2 4 0 3]
5,7,4,2,70,1, [4 3 6 0 5 1 3 2 4]
5,8,0,2,317,8, [6 3 1 0 5 4 2 6 3 7]
5,8,1,2,28,1, [6 4 5 6 2 3 0 1 7 4]
5,8,2,2,92,3, [3 7 6 7 2 1 0 5 3 4]
5,8,3,2,450,8, [3 0 7 5 2 1 4 6 3 0]
5,8,4,2,3168,63, [6 1 6 3 7 6 5 4 2 0 3]
10,4,0,2,42,4, [3 1 2 0 3 0 2 3 1 0 2]
10,4,1,2,112,9, [0 3 0 1 3 0 1 2 0 1 3]
10,4,2,2,67,4, [1 0 2 1 2 3 0 2 3 0 1]
10,4,3,2,52,3, [3 2 0 2 0 1 3 0 1 3 2]
10,4,4,2,18,1, [2 1 2 3 1 3 0 2 3 1]
10,5,0,2,858,100, [3 0 4 3 2 1 4 2 3 1 2 0 3 1 4]
10,5,1,2,2020,214, [1 3 0 4 3 1 0 1 3 0 4 3 2 0 1]
10,5,2,2,149,13, [1 4 0 3 1 3 2 1 0 2 1 3 4]
10,5,3,2,335,27, [3 0 3 2 4 2 0 3 0 1 3 2 4 0]
10,5,4,2,221,24, [1 4 1 2 3 1 0 3 4 3 2 1 0]
10,6,0,2,2206,277, [3 4 0 4 0 1 2 1 4 2 3 1 2 4 5 0]
10,6,1,2,3873,569, [4 5 2 5 0 4 3 5 2 3 4 3 2 4 1 5 0]
10,6,2,2,2945,457, [5 4 2 1 0 2 5 4 3 0 3 4 2 0 1 5]
10,6,3,2,2585,345, [2 3 0 5 2 1 3 1 0 4 1 5 3 0 2 4]
10,6,4,2,1297,168, [5 3 2 3 1 4 0 3 5 1 4 3 0 2]
10,7,0,2,2428,398, [0 2 6 1 5 4 0 6 2 5 1 4 6 0 3]
10,7,1,2,17816,3352, [4 2 0 4 2 1 6 1 5 4 2 1 3 6 0 5]
10,7,2,2,1220,211, [0 3 2 0 4 1 0 1 3 6 0 5 2 3 4 6]
10,7,3,2,2987,596, [0 4 2 5 3 6 1 4 2 0 6 5 3 2 1 4]
10,7,4,2,2708,392, [6 5 2 5 0 3 4 1 2 6 5 3 0 2 4 1]
10,8,0,2,27645,5604, [7 0 4 0 6 4 0 5 0 7 3 6 2 1 0 4 5 7]
10,8,1,2,22623,3182, [6 0 6 0 5 2 7 3 4 5 0 2 7 1 6 3 4 5]
10,8,2,2,194313,42597, [5 4 1 6 7 2 3 7 6 3 5 7 0 6 3 5 2 1 4]
10,8,3,2,974137,240126, [4 0 3 1 0 7 3 2 6 1 5 4 0 3 6 1 7 2 5 4]
10,8,4,2,77156,17951, [6 1 4 1 3 2 7 6 5 2 7 3 1 6 4 2 0]
15,4,0,2,365,90, [3 2 0 3 0 3 2 3 2 1 0 3 1 0 3 1 2]
15,4,1,2,243,54, [2 3 1 0 2 3 1 2 0 1 2 3 0 1]
15,4,2,2,739,166, [1 3 2 1 2 1 0 3 0 2 1 3 0 2 3 1]
15,4,3,2,28,8, [3 2 3 1 3 1 0 2 1 3 0 2 3 0 1]
15,4,4,2,939,227, [1 2 0 1 0 2 0 2 1 3 1 0 2 3 1 2 0 3]
15,5,0,2,9471,3670, [3 1 2 1 4 2 0 4 1 0 2 4 1 3 4 2 1 3 0]
15,5,1,2,192,63, [2 1 2 0 2 4 3 1 0 2 3 1 2 4 0]
15,5,2,2,1140,385, [1 0 2 4 2 0 4 2 3 0 1 0 3 2 1 4 0 3]
15,5,3,2,4821,1516, [0 4 0 3 2 1 0 2 4 0 2 1 3 4 1 4 2 0]
15,5,4,2,4856,1496, [3 4 1 3 1 0 4 2 3 0 3 4 1 2 4 0 1 2 3]
15,6,0,2,38706,16905, [4 5 1 0 5 2 4 3 0 4 1 3 2 0 5 3 4 0 5 2 1]
15,6,1,2, DNF, --, --
15,6,2,2, DNF, --, --
15,6,3,2, DNF, --, --
15,6,4,2, DNF, --, --
15,7,0,2, DNF, --, --
15,7,1,2, DNF, --, --
15,7,2,2, DNF, --, --
15,7,3,2, DNF, --, --
20,4,0,2,9971,2780,Ê[2 1 3 1 3 2 1 0 2 0 2 0 3 0 1 0 2 1 0 3 1]
20,4,1,2,1343,387,Ê[1 2 1 3 2 3 0 2 0 2 1 3 0 3 1 2 0 3 0 2 1]
20,4,2,2,105,27,Ê[1 2 0 3 2 1 3 1 3 2 3 0 1 2 3]
20,4,3,2,1048,310,Ê[0 1 0 1 2 1 2 0 2 1 3 0 1 3 0 2 1 0 3 2]
20,4,4,2,607,140,Ê[1 0 1 3 2 0 2 0 2 0 2 1 2 0 1 2 0 3 1 2]
20,5,0,2,317975,149094,Ê[4 3 0 4 2 1 0 1 2 4 2 3 1 3 0 3 2 4 3 0 2 4 3 1 0]
20,5,1,2,12787,5088,Ê[0 4 1 3 0 4 3 1 2 3 2 0 2 4 2 1 0 3 1 0 2 4]
20,5,2,2,ÊDNF,Ê--,Ê--
20,5,3,2,131487,70026,Ê[4 3 2 4 2 1 2 4 1 3 2 0 4 2 3 0 2 3 1 4 1 2 3 1 0 4]
20,5,4,2,4355,3501,Ê[4 1 4 0 2 3 4 0 2 3 4 1 4 2 1 0 2 3 4]
20,6,0,2,ÊDNF,Ê--,Ê--
20,6,1,2,ÊDNF,Ê--,Ê--
20,6,2,2,ÊDNF,Ê--,Ê--
20,6,3,2,ÊDNF,Ê--,Ê--
20,6,4,2,ÊDNF,Ê--,Ê--
25,4,0,2,3765,1797,Ê[2 3 2 1 2 0 2 0 3 2 1 0 2 3 1 3 2 1 3 0 2 1]
25,4,1,2,639,349,Ê[2 1 2 3 1 0 2 1 0 3 2 0 1 2 0 1 3 1 3 2 3 0 1]
25,4,2,2,13567,6607,Ê[1 2 3 0 1 0 1 3 1 2 3 1 0 3 1 0 2 1 0 3 2 0 3 1]
25,4,3,2,24152,12713,Ê[1 0 1 3 1 0 2 3 2 1 0 3 1 2 3 2 1 0 2 1 3 0 1 2]
25,4,4,2,15334,7164,Ê[0 3 0 3 2 0 1 3 2 1 3 1 0 3 1 2 1 0 2 1 3 0 2]
25,5,0,2,115209,83736,Ê[3 1 0 3 0 4 0 3 0 4 0 3 4 2 3 0 2 1 0 4 1 3 4 0 1 2]
25,5,1,2,119545,98789,Ê[2 0 1 3 4 1 4 0 3 2 4 0 2 0 1 4 1 3 0 2 1 4 1 3 4 0 1 2]
25,5,2,2,88416,101841,Ê[1 0 4 2 0 3 2 1 3 4 1 4 3 0 1 3 2 1 3 4 1 3 2 1 0 4]
25,5,3,2,ÊDNF,Ê--,Ê--
25,5,4,2,ÊDNF,Ê--,Ê--
25,6,0,2,ÊDNF,Ê--,Ê--
25,6,1,2,ÊDNF,Ê--,Ê--
25,6,2,2,ÊDNF,Ê--,Ê--
25,6,3,2,ÊDNF,Ê--,Ê--
25,6,4,2,ÊDNF,Ê--,Ê--
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,num solved,78,,
,,,num total,99,,
,,,percent solved,0.787878788,,
